abilities;against_bug;against_dark;against_dragon;against_electric;against_fairy;against_fight;against_fire;against_flying;against_ghost;against_grass;against_ground;against_ice;against_normal;against_poison;against_psychic;against_rock;against_steel;against_water;attack;defense;hp;name;pokedex_number;sp_attack;sp_defense;speed;type1;type2;generation;is_legendary;developers_favourite;design_date;shiny_rate;catch_routes
['Natural Cure', 'Serene Grace', 'Healer'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;5;5;250;Chansey;113;35;1 5;50;normal;;1;0;false;1990- 4- 7;1.5;11  9 2 22
['Chlorophyll', 'Leaf Guard', 'Regenerator'];2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5;55;115;65;Tangela;114;100;40;60;grass;;1;0;false;1993- 4-16;2.5; 1 12 2 23
['Early Bird', 'Scrappy', 'Inner Focus'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;95;80;1 5;Kangaskhan;115;40;80;90;normal;;1;0;true;1992- 8- 2;1.5; 4 16 2 22
['Swift Swim', 'Sniper', 'Damp'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;40;70;30;Horsea;116;70;25;60;water;;1;0;false;1995- 9- 9;1.5; 4 24 2 22
['Poison Point', 'Sniper', 'Damp'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;65;95;55;Seadra;117;95;45;85;water;;1;0;false;1995- 3- 7;1.5;11  1 2 22
['Swift Swim', 'Water Veil', 'Lightningrod'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;67;60;45;Goldeen;118;35;50;63;water;;1;0;true;1992- 1-26;1.5; 9  4 2 22
['Swift Swim', 'Water Veil', 'Lightningrod'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;92;65;80;Seaking;119;65;80;68;water;;1;0;false;1996- 1-21;1.5; 9 29 2 22
['Illuminate', 'Natural Cure', 'Analytic'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;45;55;30;Staryu;120;70;55;85;water;;1;0;true;1990-10-30;1.5; 7 17 2 22
['Illuminate', 'Natural Cure', 'Analytic'];2;2;1;2;1;0.5;0.5;1;2;2;1;0.5;1;1;0.5;1;0.5;0.5;75;85;60;Starmie;121;100;85;115;water;psychic;1;0;false;1994-10-24;2.5;12 31 2 22
['Soundproof', 'Filter', 'Technician'];1;1;0;1;1;0.25;1;1;2;1;1;1;1;2;0.5;1;2;1;45;65;40;Mr. Mime;122;100;120;90;psychic;fairy;1;0;true;1991- 5- 1;1.5; 9  7 2 22
['Swarm', 'Technician', 'Steadfast'];0.5;1;1;2;1;0.25;2;2;1;0.25;0;2;1;1;1;4;1;1;110;80;70;Scyther;123;55;80;1 5;bug;flying;1;0;false;1993- 2- 7;0.5; 2 15 2 23
['Oblivious', 'Forewarn', 'Dry Skin'];2;2;1;1;1;1;2;1;2;1;1;0.5;1;1;0.5;2;2;1;50;35;65;Jynx;124;115;95;95;ice;psychic;1;0;true;1994- 7-13;2.5;10 12 2 22
['Static', 'Vital Spirit'];1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;83;57;65;Electabuzz;125;95;85;1 5;electric;;1;0;false;1995- 7-15;1.5; 1  8 2 23
['Flame Body', 'Vital Spirit'];0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;95;57;65;Magmar;126;100;85;93;fire;;1;0;false;1996- 1-20;0.5; 6  2 2 22
['Hyper Cutter', 'Mold Breaker', 'Moxie'];1;1;1;1;1;0.5;2;2;1;0.5;0.5;1;1;1;1;2;1;1;125;100;65;Pinsir;127;55;70;85;bug;;1;0;false;1990- 6-14;1.5;12 13 2 22
['Intimidate', 'Anger Point', 'Sheer Force'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;100;95;75;Tauros;128;40;70;110;normal;;1;0;true;1992- 7- 4;1.5; 2 25 2 23
['Swift Swim', 'Rattled'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;10;55;20;Magikarp;129;15;20;80;water;;1;0;true;1996- 2-22;1.5; 9  2 2 22
['Intimidate', 'Moxie'];0.5;1;1;4;1;0.5;0.5;1;1;1;0;1;1;1;1;2;0.5;0.5;125;79;95;Gyarados;130;60;100;81;water;flying;1;0;false;1996- 3- 3;0.5; 2 15 2 23
['Water Absorb', 'Shell Armor', 'Hydration'];1;1;1;2;1;2;1;1;1;2;1;0.25;1;1;1;2;1;0.5;85;80;130;Lapras;131;85;95;60;water;ice;1;0;true;1992- 5- 8;1.5;11  9 2 22
['Limber', 'Imposter'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;48;48;48;Ditto;132;48;48;48;normal;;1;0;true;1994- 3- 7;1.5; 4  8 2 22
['Run Away', 'Adaptability', 'Anticipation'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;55;50;55;Eevee;133;45;65;55;normal;;1;0;false;1996- 2-19;1.5; 5 19 2 22
['Water Absorb', 'Hydration'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;65;60;130;Vaporeon;134;110;95;65;water;;1;0;true;1994-11-27;1.5; 7  4 2 22
['Volt Absorb', 'Quick Feet'];1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;65;60;65;Jolteon;135;110;95;130;electric;;1;0;false;1990-11-24;1.5; 1  4 2 23
['Flash Fire', 'Guts'];0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;130;60;65;Flareon;136;95;110;65;fire;;1;0;false;1995- 9-18;0.5; 6  7 2 22
['Trace', 'Download', 'Analytic'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;60;70;65;Porygon;137;85;75;40;normal;;1;0;false;1991-10-24;1.5; 1  4 2 23
['Swift Swim', 'Shell Armor', 'Weak Armor'];1;1;1;2;1;2;0.25;0.5;1;4;2;0.5;0.5;0.5;1;1;1;1;40;100;35;Omanyte;138;90;55;35;rock;water;1;0;true;1995- 9-27;1.5;12 31 2 22
['Swift Swim', 'Shell Armor', 'Weak Armor'];1;1;1;2;1;2;0.25;0.5;1;4;2;0.5;0.5;0.5;1;1;1;1;60;125;70;Omastar;139;115;70;55;rock;water;1;0;false;1994- 4-13;1.5;11  7 2 22
['Swift Swim', 'Battle Armor', 'Weak Armor'];1;1;1;2;1;2;0.25;0.5;1;4;2;0.5;0.5;0.5;1;1;1;1;80;90;30;Kabuto;140;55;45;55;rock;water;1;0;true;1990- 6- 3;1.5; 1 22 2 23
['Swift Swim', 'Battle Armor', 'Weak Armor'];1;1;1;2;1;2;0.25;0.5;1;4;2;0.5;0.5;0.5;1;1;1;1;115;1 5;60;Kabutops;141;65;70;80;rock;water;1;0;false;1990- 4-14;1.5; 3 14 2 22
['Rock Head', 'Pressure', 'Unnerve'];0.5;1;1;2;1;1;0.5;0.5;1;1;0;2;0.5;0.5;1;2;2;2;1 5;65;80;Aerodactyl;142;60;75;130;rock;flying;1;0;true;1994- 8-29;0.5; 8 28 2 22
['Immunity', 'Thick Fat', 'Gluttony'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;110;65;160;Snorlax;143;65;110;30;normal;;1;0;false;1992-10- 3;1.5; 7 13 2 22
['Pressure', 'Snow Cloak'];0.5;1;1;2;1;1;2;1;1;0.5;0;1;1;1;1;4;2;1;85;100;90;Articuno;144;95;125;85;ice;flying;1;1;false;1990- 7-26;0.5; 6  4 2 22
['Pressure', 'Static'];0.5;1;1;1;1;0.5;1;0.5;1;0.5;0;2;1;1;1;2;0.5;1;90;85;90;Zapdos;145;125;90;100;electric;flying;1;1;false;1992-10-13;0.5;12 23 2 22
['Pressure', 'Flame Body'];0.25;1;1;2;0.5;0.5;0.5;1;1;0.25;0;1;1;1;1;4;0.5;2;100;90;90;Moltres;146;125;85;90;fire;flying;1;1;false;1991- 3-27;0.25;10 20 2 22
['Shed Skin', 'Marvel Scale'];1;1;2;0.5;2;1;0.5;1;1;0.5;1;2;1;1;1;1;1;0.5;64;45;41;Dratini;147;50;50;50;dragon;;1;0;true;1994- 4-12;1.5; 9 22 2 22
['Shed Skin', 'Marvel Scale'];1;1;2;0.5;2;1;0.5;1;1;0.5;1;2;1;1;1;1;1;0.5;84;65;61;Dragonair;148;70;70;70;dragon;;1;0;false;1992- 3- 3;1.5; 9 16 2 22
['Inner Focus', 'Multiscale'];0.5;1;2;1;2;0.5;0.5;1;1;0.25;0;4;1;1;1;2;1;0.5;134;95;91;Dragonite;149;100;100;80;dragon;flying;1;0;false;1992-12-18;0.5;10  9 2 22
['Pressure', 'Unnerve'];2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1;150;70;1 6;Mewtwo;150;194;120;140;psychic;;1;1;true;1995- 6-30;2.5; 3  3 2 23
['Synchronize'];2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1;100;100;100;Mew;151;100;100;100;psychic;;1;1;false;1991- 1- 3;2.5;11 20 2 22
['Overgrow', 'Leaf Guard'];2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5;49;65;45;Chikorita;152;49;65;45;grass;;2;0;true;1993- 5-28;2.5; 1 29 2 23
['Overgrow', 'Leaf Guard'];2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5;62;80;60;Bayleef;153;63;80;60;grass;;2;0;true;1994- 3-19;2.5; 4 16 2 22
['Overgrow', 'Leaf Guard'];2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5;82;100;80;Meganium;154;83;100;80;grass;;2;0;false;1991- 1- 2;2.5; 8 10 2 22
['Blaze', 'Flash Fire'];0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;52;43;39;Cyndaquil;155;60;50;65;fire;;2;0;false;1994- 6-13;0.5;10  9 2 22
['Blaze', 'Flash Fire'];0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;64;58;58;Quilava;156;80;65;80;fire;;2;0;true;1992- 6- 2;0.5;12 29 2 22
['Blaze', 'Flash Fire'];0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;84;78;78;Typhlosion;157;1 9;85;100;fire;;2;0;false;1991-11-14;0.5; 1 28 2 23
['Torrent', 'Sheer Force'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;65;64;50;Totodile;158;44;48;43;water;;2;0;true;1994- 5-25;1.5;11 25 2 22
['Torrent', 'Sheer Force'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;80;80;65;Croconaw;159;59;63;58;water;;2;0;false;1991-11- 2;1.5;10 17 2 22
['Torrent', 'Sheer Force'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;1 5;100;85;Feraligatr;160;79;83;78;water;;2;0;true;1991-11-26;1.5; 4  5 2 22
['Run Away', 'Keen Eye', 'Frisk'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;46;34;35;Sentret;161;35;45;20;normal;;2;0;false;1993- 9-13;1.5; 9 27 2 22
['Run Away', 'Keen Eye', 'Frisk'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;76;64;85;Furret;162;45;55;90;normal;;2;0;false;1990- 4- 1;1.5; 9 12 2 22
['Insomnia', 'Keen Eye', 'Tinted Lens'];0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;30;30;60;Hoothoot;163;36;56;50;normal;flying;2;0;true;1994- 9-19;0.5;11  2 2 22
['Insomnia', 'Keen Eye', 'Tinted Lens'];0.5;1;1;2;1;1;1;1;0;0.5;0;2;1;1;1;2;1;1;50;50;100;Noctowl;164;86;96;70;normal;flying;2;0;false;1990- 8-27;0.5;11 22 2 22
['Swarm', 'Early Bird', 'Rattled'];0.5;1;1;2;1;0.25;2;2;1;0.25;0;2;1;1;1;4;1;1;20;30;40;Ledyba;165;40;80;55;bug;flying;2;0;true;1991-10- 4;0.5; 9 10 2 22
['Swarm', 'Early Bird', 'Iron Fist'];0.5;1;1;2;1;0.25;2;2;1;0.25;0;2;1;1;1;4;1;1;35;50;55;Ledian;166;55;110;85;bug;flying;2;0;true;1995- 6- 9;0.5;12  7 2 22
['Swarm', 'Insomnia', 'Sniper'];0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1;60;40;40;Spinarak;167;40;40;30;bug;poison;2;0;true;1993- 3- 1;0.5; 1 19 2 23
['Swarm', 'Insomnia', 'Sniper'];0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1;90;70;70;Ariados;168;60;70;40;bug;poison;2;0;false;1992- 3-30;0.5; 7 10 2 22
['Inner Focus', 'Infiltrator'];0.25;1;1;2;0.5;0.25;1;1;1;0.25;0;2;1;0.5;2;2;1;1;90;80;85;Crobat;169;70;80;130;poison;flying;2;0;true;1995- 8- 5;0.25; 6  3 2 22
['Volt Absorb', 'Illuminate', 'Water Absorb'];1;1;1;1;1;1;0.5;0.5;1;2;2;0.5;1;1;1;1;0.25;0.5;38;38;75;Chinchou;170;56;56;67;water;electric;2;0;false;1995- 6- 2;1.5;12 16 2 22
['Volt Absorb', 'Illuminate', 'Water Absorb'];1;1;1;1;1;1;0.5;0.5;1;2;2;0.5;1;1;1;1;0.25;0.5;58;58;125;Lanturn;171;76;76;67;water;electric;2;0;false;1994- 4- 8;1.5; 8 15 2 22
['Static', 'Lightningrod'];1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;40;15;20;Pichu;172;35;35;60;electric;;2;0;false;1992- 5-15;1.5;11 10 2 22
['Cute Charm', 'Magic Guard', 'Friend Guard'];0.5;0.5;0;1;1;0.5;1;1;1;1;1;1;1;2;1;1;2;1;25;28;50;Cleffa;173;45;55;15;fairy;;2;0;true;1994-11- 7;0.5; 8 12 2 22
['Cute Charm', 'Competitive', 'Friend Guard'];0.5;0.5;0;1;1;1;1;1;0;1;1;1;1;2;1;1;2;1;30;15;90;Igglybuff;174;40;20;15;normal;fairy;2;0;false;1990-11- 1;0.5; 6 29 2 22
['Hustle', 'Serene Grace', 'Super Luck'];0.5;0.5;0;1;1;0.5;1;1;1;1;1;1;1;2;1;1;2;1;20;65;35;Togepi;175;40;65;20;fairy;;2;0;false;1992-11- 7;0.5;10 12 2 22
['Hustle', 'Serene Grace', 'Super Luck'];0.25;0.5;0;2;1;0.25;1;1;1;0.5;0;2;1;2;1;2;2;1;40;85;55;Togetic;176;80;1 5;40;fairy;flying;2;0;false;1990-11-17;0.25; 5 12 2 22
['Synchronize', 'Early Bird', 'Magic Bounce'];1;2;1;2;1;0.25;1;1;2;0.5;0;2;1;1;0.5;2;1;1;50;45;40;Natu;177;70;45;70;psychic;flying;2;0;false;1996- 2-17;1.5; 3 10 2 23
['Synchronize', 'Early Bird', 'Magic Bounce'];1;2;1;2;1;0.25;1;1;2;0.5;0;2;1;1;0.5;2;1;1;75;70;65;Xatu;178;95;70;95;psychic;flying;2;0;false;1993- 2-16;1.5;12  9 2 22
['Static', 'Plus'];1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;40;40;55;Mareep;179;65;45;35;electric;;2;0;true;1993- 1- 5;1.5;11  4 2 22
['Static', 'Plus'];1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;55;55;70;Flaaffy;180;80;60;45;electric;;2;0;true;1992- 5-14;1.5; 1 19 2 23
['Static', 'Plus'];1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;75;75;90;Ampharos;181;115;90;55;electric;;2;0;false;1994- 9-29;1.5; 2 22 2 23
['Chlorophyll', 'Healer'];2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5;80;95;75;Bellossom;182;90;100;50;grass;;2;0;false;1994- 3-31;2.5; 7 14 2 22
['Thick Fat', 'Huge Power', 'Sap Sipper'];0.5;0.5;0;2;1;0.5;0.5;1;1;2;1;0.5;1;2;1;1;1;0.5;20;50;70;Marill;183;20;50;40;water;fairy;2;0;true;1994- 7- 4;0.5; 4 11 2 22
['Thick Fat', 'Huge Power', 'Sap Sipper'];0.5;0.5;0;2;1;0.5;0.5;1;1;2;1;0.5;1;2;1;1;1;0.5;50;80;100;Azumarill;184;60;80;50;water;fairy;2;0;false;1990-11-20;0.5;11 10 2 22
['Sturdy', 'Rock Head', 'Rattled'];1;1;1;1;1;2;0.5;0.5;1;2;2;1;0.5;0.5;1;1;2;2;100;115;70;Sudowoodo;185;30;65;30;rock;;2;0;true;1990- 4-25;1.5; 3  6 2 23
['Water Absorb', 'Damp', 'Drizzle'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;75;75;90;Politoed;186;90;100;70;water;;2;0;true;1990- 5- 7;1.5; 8 29 2 22
['Chlorophyll', 'Leaf Guard', 'Infiltrator'];1;1;1;1;1;0.5;2;2;1;0.25;0;4;1;2;1;2;1;0.5;35;40;35;Hoppip;187;35;55;50;grass;flying;2;0;false;1991- 3-26;1.5;10  3 2 22
['Chlorophyll', 'Leaf Guard', 'Infiltrator'];1;1;1;1;1;0.5;2;2;1;0.25;0;4;1;2;1;2;1;0.5;45;50;55;Skiploom;188;45;65;80;grass;flying;2;0;false;1994- 6- 3;1.5;12  8 2 22
['Chlorophyll', 'Leaf Guard', 'Infiltrator'];1;1;1;1;1;0.5;2;2;1;0.25;0;4;1;2;1;2;1;0.5;55;70;75;Jumpluff;189;55;95;110;grass;flying;2;0;true;1991-10-20;1.5; 5  4 2 22
['Run Away', 'Pickup', 'Skill Link'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;70;55;55;Aipom;190;40;55;85;normal;;2;0;false;1994-11-13;1.5; 3 22 2 22
['Chlorophyll', 'Solar Power', 'Early Bird'];2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5;30;30;30;Sunkern;191;30;30;30;grass;;2;0;false;1992- 8-26;2.5; 8 22 2 22
['Chlorophyll', 'Solar Power', 'Early Bird'];2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5;75;55;75;Sunflora;192;1 5;85;30;grass;;2;0;false;1993-11-13;2.5; 6 13 2 22
['Speed Boost', 'Compoundeyes', 'Frisk'];0.5;1;1;2;1;0.25;2;2;1;0.25;0;2;1;1;1;4;1;1;65;45;65;Yanma;193;75;45;95;bug;flying;2;0;false;1993-11-19;0.5; 7 20 2 22
['Damp', 'Water Absorb', 'Unaware'];1;1;1;0;1;1;0.5;1;1;4;1;1;1;0.5;1;0.5;0.5;1;45;45;55;Wooper;194;25;25;15;water;ground;2;0;true;1991-11-28;1.5; 4  8 2 22
['Damp', 'Water Absorb', 'Unaware'];1;1;1;0;1;1;0.5;1;1;4;1;1;1;0.5;1;0.5;0.5;1;85;85;95;Quagsire;195;65;65;35;water;ground;2;0;false;1991- 4- 8;1.5; 5  4 2 22
['Synchronize', 'Magic Bounce'];2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1;65;60;65;Espeon;196;130;95;110;psychic;;2;0;true;1992- 5-18;2.5; 3 14 2 22
['Synchronize', 'Inner Focus'];2;0.5;1;1;2;2;1;1;0.5;1;1;1;1;1;0;1;1;1;65;110;95;Umbreon;197;60;130;65;dark;;2;0;false;1996- 3- 8;2.5; 9  1 2 22
['Insomnia', 'Super Luck', 'Prankster'];1;0.5;1;2;2;1;1;1;0.5;0.5;0;2;1;1;0;2;1;1;85;42;60;Murkrow;198;85;42;91;dark;flying;2;0;true;1992- 3-28;1.5; 1 28 2 23
['Oblivious', 'Own Tempo', 'Regenerator'];2;2;1;2;1;0.5;0.5;1;2;2;1;0.5;1;1;0.5;1;0.5;0.5;75;80;95;Slowking;199;100;110;30;water;psychic;2;0;false;1993- 8-10;2.5; 2 23 2 23
['Levitate'];0.5;2;1;1;1;0;1;1;2;1;1;1;0;0.5;1;1;1;1;60;60;60;Misdreavus;200;85;85;85;ghost;;2;0;true;1990- 6-13;0.5; 1  4 2 23
['Levitate'];2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1;72;48;48;Unown;2 1;72;48;48;psychic;;2;0;false;1995- 9-12;2.5; 3  3 2 23
['Shadow Tag', 'Telepathy'];2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1;33;58;190;Wobbuffet;2 2;33;58;33;psychic;;2;0;false;1996- 1- 9;2.5; 7  9 2 22
['Inner Focus', 'Early Bird', 'Sap Sipper'];2;2;1;1;1;1;1;1;0;1;1;1;1;1;0.5;1;1;1;80;65;70;Girafarig;2 3;90;65;85;normal;psychic;2;0;false;1990-10-14;2.5; 9 15 2 22
['Sturdy', 'Overcoat'];1;1;1;1;1;0.5;2;2;1;0.5;0.5;1;1;1;1;2;1;1;65;90;50;Pineco;2 4;35;35;15;bug;;2;0;true;1995-11-21;1.5; 8 20 2 22
['Sturdy', 'Overcoat'];0.5;1;0.5;1;0.5;1;4;1;1;0.25;1;0.5;0.5;0;0.5;1;0.5;1;90;140;75;Forretress;2 5;60;60;40;bug;steel;2;0;true;1994- 8- 7;0.5;10 21 2 22
['Serene Grace', 'Run Away', 'Rattled'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;70;70;100;Dunsparce;2 6;65;65;45;normal;;2;0;false;1995- 5-20;1.5; 8 24 2 22
['Hyper Cutter', 'Sand Veil', 'Immunity'];0.5;1;1;0;1;0.5;1;1;1;1;0;4;1;0.5;1;1;1;2;75;1 5;65;Gligar;2 7;35;65;85;ground;flying;2;0;false;1991- 7-17;0.5;10 16 2 22
['Rock Head', 'Sturdy', 'Sheer Force'];0.5;1;0.5;0;0.5;2;2;0.5;1;1;2;1;0.5;0;0.5;0.25;0.5;2;85;200;75;Steelix;2 8;55;65;30;steel;ground;2;0;true;1991- 4-23;0.5; 2  1 2 23
['Intimidate', 'Run Away', 'Rattled'];0.5;0.5;0;1;1;0.5;1;1;1;1;1;1;1;2;1;1;2;1;80;50;60;Snubbull;2 9;40;40;30;fairy;;2;0;true;1993- 2-26;0.5; 7  7 2 22
['Intimidate', 'Quick Feet', 'Rattled'];0.5;0.5;0;1;1;0.5;1;1;1;1;1;1;1;2;1;1;2;1;120;75;90;Granbull;210;60;60;45;fairy;;2;0;true;1994- 6-14;0.5; 2 19 2 23
['Poison Point', 'Swift Swim', 'Intimidate'];0.5;1;1;2;0.5;0.5;0.5;1;1;1;2;0.5;1;0.5;2;1;0.5;0.5;95;85;65;Qwilfish;211;55;55;85;water;poison;2;0;false;1995- 9-27;0.5; 2 18 2 23
['Swarm', 'Technician', 'Light Metal'];0.5;1;0.5;1;0.5;1;4;1;1;0.25;1;0.5;0.5;0;0.5;1;0.5;1;130;100;70;Scizor;212;55;80;65;bug;steel;2;0;true;1992- 4-17;0.5;12 16 2 22
['Sturdy', 'Gluttony', 'Contrary'];1;1;1;1;1;1;1;1;1;1;1;1;0.5;0.5;1;2;2;2;10;230;20;Shuckle;213;10;230;5;bug;rock;2;0;true;1991- 8-25;1.5; 8 18 2 22
['Swarm', 'Guts', 'Moxie'];0.5;0.5;1;1;2;0.5;2;4;1;0.5;0.5;1;1;1;2;1;1;1;125;75;80;Heracross;214;40;95;85;bug;fighting;2;0;true;1992- 5- 9;0.5; 4 23 2 22
['Inner Focus', 'Keen Eye', 'Pickpocket'];2;0.5;1;1;2;4;2;1;0.5;1;1;0.5;1;1;0;2;2;1;95;55;55;Sneasel;215;35;75;115;dark;ice;2;0;true;1994- 1- 1;2.5; 6 22 2 22
['Pickup', 'Quick Feet', 'Honey Gather'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;80;50;60;Teddiursa;216;50;50;40;normal;;2;0;true;1995- 8-24;1.5;10  3 2 22
['Guts', 'Quick Feet', 'Unnerve'];1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;130;75;90;Ursaring;217;75;75;55;normal;;2;0;true;1992-11-19;1.5; 7 28 2 22
['Magma Armor', 'Flame Body', 'Weak Armor'];0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;40;40;40;Slugma;218;70;40;20;fire;;2;0;false;1991- 3- 9;0.5; 8 11 2 22
['Magma Armor', 'Flame Body', 'Weak Armor'];0.5;1;1;1;0.5;2;0.25;0.5;1;1;4;0.5;0.5;0.5;1;2;1;4;50;120;60;Magcargo;219;90;80;30;fire;rock;2;0;false;1993- 7-29;0.5;11 16 2 22
['Oblivious', 'Snow Cloak', 'Thick Fat'];1;1;1;0;1;2;2;1;1;2;1;1;1;0.5;1;1;2;2;50;40;50;Swinub;220;30;30;50;ice;ground;2;0;true;1993-11-10;1.5; 3 20 2 22
['Oblivious', 'Snow Cloak', 'Thick Fat'];1;1;1;0;1;2;2;1;1;2;1;1;1;0.5;1;1;2;2;100;80;100;Piloswine;221;60;60;50;ice;ground;2;0;true;1990- 8-19;1.5; 3 14 2 22
['Hustle', 'Natural Cure', 'Regenerator'];1;1;1;2;1;2;0.25;0.5;1;4;2;0.5;0.5;0.5;1;1;1;1;55;95;65;Corsola;222;65;95;35;water;rock;2;0;false;1994- 9-23;1.5; 5 30 2 22
['Hustle', 'Sniper', 'Moody'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;65;35;35;Remoraid;223;65;35;65;water;;2;0;false;1990-11-12;1.5; 8 16 2 22
['Suction Cups', 'Sniper', 'Moody'];1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;1 5;75;75;Octillery;224;1 5;75;45;water;;2;0;false;1993- 1-31;1.5; 3 18 2 22
['Vital Spirit', 'Hustle', 'Insomnia'];0.5;1;1;2;1;1;2;1;1;0.5;0;1;1;1;1;4;2;1;55;45;45;Delibird;225;65;45;75;ice;flying;2;0;true;1992- 4-22;0.5; 2 18 2 23
['Swift Swim', 'Water Absorb', 'Water Veil'];0.5;1;1;4;1;0.5;0.5;1;1;1;0;1;1;1;1;2;0.5;0.5;40;70;85;Mantine;226;80;140;70;water;flying;2;0;true;1993- 3-16;0.5; 8 11 2 22
['Keen Eye', 'Sturdy', 'Weak Armor'];0.25;1;0.5;2;0.5;1;2;0.5;1;0.25;0;1;0.5;0;0.5;1;0.5;1;80;140;65;Skarmory;227;40;70;70;steel;flying;2;0;false;1993- 6-26;0.25; 4 22 2 22
['Early Bird', 'Flash Fire', 'Unnerve'];1;0.5;1;1;1;2;0.5;1;0.5;0.5;2;0.5;1;1;0;2;0.5;2;60;30;45;Houndour;228;80;50;65;dark;fire;2;0;true;1994- 5-26;1.5;12 22 2 22
['Early Bird', 'Flash Fire', 'Unnerve'];1;0.5;1;1;1;2;0.5;1;0.5;0.5;2;0.5;1;1;0;2;0.5;2;90;50;75;Houndoom;229;110;80;95;dark;fire;2;0;false;1992- 3-13;1.5; 5 19 2 22
['Swift Swim', 'Sniper', 'Damp'];1;1;2;1;2;1;0.25;1;1;1;1;1;1;1;1;1;0.5;0.25;95;95;75;Kingdra;230;95;95;85;water;dragon;2;0;false;1992- 1-16;1.5; 6  4 2 22
